R,P,F
2,0,1
2,0.195151515,0.974279835
2,0.25010101,0.943415638
2,0.292121212,0.899691358
2,0.334141414,0.801440329
2,0.358383838,0.699588477
2,0.36969697,0.599279835
2,0.448888889,0.599794239
1.5,0.431111111,0.698559671
1.5,0.402020202,0.800411523
1.5,0.343838384,0.900205761
1.5,0.293737374,0.943415638
1.5,0.229090909,0.974279835
1.5,0.180606061,0.987654321
1.5,0.106262626,0.99691358
1.5,0,1
1.1,0.531313131,0.599794239
1.1,0.508686869,0.700617284
1.1,0.476363636,0.78909465
1.1,0.440808081,0.853909465
1.1,0.40040404,0.901234568
1.1,0.345454545,0.942386831
1.1,0.282424242,0.969135802
1.1,0.212929293,0.986625514
1.1,0.125656566,0.99691358
1.1,0,1
0.8,0.625050505,0.586419753
0.8,0.608888889,0.666666667
0.8,0.584646465,0.741769547
0.8,0.557171717,0.802469136
0.8,0.511919192,0.866255144
0.8,0.465050505,0.909465021
0.8,0.408484848,0.943415638
0.8,0.330909091,0.970164609
0.8,0.238787879,0.988683128
0.8,0.166060606,0.998971193
0.8,0,1
0.6,0.699393939,0.586419753
0.6,0.678383838,0.681069959
0.6,0.647676768,0.764403292
0.6,0.605656566,0.833333333
0.6,0.558787879,0.884773663
0.6,0.481212121,0.934156379
0.6,0.393939394,0.967078189
0.6,0.314747475,0.982510288
0.6,0.235555556,0.991769547
0.6,0.185454545,0.997942387
0.6,0,1
0.4,0,1
0.4,0.198383838,0.99691358
0.4,0.224242424,0.994855967
0.4,0.264646465,0.99382716
0.4,0.372929293,0.984567901
0.4,0.465050505,0.968106996
0.4,0.571717172,0.933127572
0.4,0.652525253,0.881687243
0.4,0.713939394,0.809670782
0.4,0.747878788,0.738683128
0.4,0.773737374,0.659465021
0.4,0.785050505,0.598765432
